model,dataset,table_group,term,coefficient,robust_se_hc3,robust_t,p_value,stars,nobs,r_squared,adj_r_squared,aic,bic
re1_o,model_data4_o,ols_outlier_filtered,const,9.441063423609403,5.461641056690137,1.7286129435483033,0.08768851039968942,*,94,0.48585240713880085,0.4096823933815862,372.92695996295083,405.9897921324609
re1_o,model_data4_o,ols_outlier_filtered,fertility,-0.24747320706151005,0.33960284310326583,-0.7287135902636093,0.4682785668080909,,94,0.48585240713880085,0.4096823933815862,372.92695996295083,405.9897921324609
re1_o,model_data4_o,ols_outlier_filtered,log_GDPpc2015,-0.28116682123018255,0.37112645255563476,-0.7576038282747669,0.45088660540588466,,94,0.48585240713880085,0.4096823933815862,372.92695996295083,405.9897921324609
re1_o,model_data4_o,ols_outlier_filtered,inf_def,-0.008444662952261109,0.06120469843813692,-0.13797409623374932,0.8906033097503262,,94,0.48585240713880085,0.4096823933815862,372.92695996295083,405.9897921324609
re1_o,model_data4_o,ols_outlier_filtered,investment,0.10107778464477485,0.03880972495793173,2.604444755904334,0.010945024084454327,**,94,0.48585240713880085,0.4096823933815862,372.92695996295083,405.9897921324609
re1_o,model_data4_o,ols_outlier_filtered,education,-0.012753575841467683,0.016437686051073746,-0.7758741590416609,0.4400828190894984,,94,0.48585240713880085,0.4096823933815862,372.92695996295083,405.9897921324609
re1_o,model_data4_o,ols_outlier_filtered,terms_trade_x_trade,-0.002248599487146867,0.009045082390174057,-0.24859911608871443,0.8043001171413551,,94,0.48585240713880085,0.4096823933815862,372.92695996295083,405.9897921324609
re1_o,model_data4_o,ols_outlier_filtered,gov_exp_reduced,-0.10741957198878124,0.06823270805572819,-1.5743120132510011,0.1193133748922028,,94,0.48585240713880085,0.4096823933815862,372.92695996295083,405.9897921324609
re1_o,model_data4_o,ols_outlier_filtered,life_exp,-0.06135131334614086,0.07669971151231415,-0.7998897536438698,0.4261143295961062,,94,0.48585240713880085,0.4096823933815862,372.92695996295083,405.9897921324609
re1_o,model_data4_o,ols_outlier_filtered,log_cc_total_plus2,-0.6635179891098947,0.6204540745638373,-1.069407094435362,0.28806279794106954,,94,0.48585240713880085,0.4096823933815862,372.92695996295083,405.9897921324609
re1_o,model_data4_o,ols_outlier_filtered,v2x_libdem,1.0814180332858387,1.7446627510893817,0.6198435959102081,0.537100593249668,,94,0.48585240713880085,0.4096823933815862,372.92695996295083,405.9897921324609
re1_o,model_data4_o,ols_outlier_filtered,terms_trade,0.25124306840389954,0.8267312461840612,0.3038993258856016,0.7619838902170999,,94,0.48585240713880085,0.4096823933815862,372.92695996295083,405.9897921324609
re1_o,model_data4_o,ols_outlier_filtered,trade,0.0074386935217711555,0.007161148267818585,1.0387570880496677,0.30200861740872154,,94,0.48585240713880085,0.4096823933815862,372.92695996295083,405.9897921324609
re2_o,model_data4_o,ols_outlier_filtered,const,6.122004852884206,2.182866110376023,2.8045718533921544,0.005941219777368303,***,122,0.4696488577751201,0.42703135527490654,461.0352195789792,489.0754300263118
