Group,N,rho,Alternative Two-Sided,Alternative Less,Alternative Greater
without_grouping,156,-0.2613538210181235,0.0009823764094740812,0.0004911882047370406,0.999508811795263
rich,77,-0.21738616078006487,0.05754685170743311,0.028773425853716554,0.9712265741462834
poor,77,-0.110967979389032,0.3366604273746414,0.1683302136873207,0.8316697863126793
Africa,48,0.036257056013894916,0.806723436583429,0.4033617182917145,0.5966382817082855
America,27,-0.08852258852258853,0.6606071097779797,0.3303035548889898,0.6696964451110101
Asia,40,-0.05478424015009382,0.7370584969232156,0.3685292484616078,0.6314707515383922
Europe,35,0.02816309622492818,0.8724117792130184,0.4362058896065092,0.5637941103934908
Pacific,6,0.028571428571428574,0.9571545189504373,0.4785772594752187,0.5214227405247813
FR,71,-0.11809386476953122,0.32666591298338854,0.16333295649169427,0.8366670435083057
SO,30,-0.31927912089881355,0.08546945432798295,0.04273472716399147,0.9572652728360085
UK,44,-0.22804792107117688,0.1365274201172744,0.0682637100586372,0.9317362899413628
GE,5,0.09999999999999999,0.8728885715695384,0.4364442857847692,0.5635557142152308
SC,5,-0.19999999999999998,0.7470600781046621,0.37353003905233106,0.6264699609476689
ever_colonized,129,-0.19983927660984213,0.02317120820343927,0.011585604101719636,0.9884143958982804
never_colonized,27,-0.5705999150588608,0.0018840429646582353,0.0009420214823291176,0.9990579785176709
