model,term,vif
re2_o,fertility,2.4457318768232885
re2_o,log_GDPpc2015,2.7976992523604145
re2_o,inf_def,1.257917261111268
re2_o,investment,1.152471792727076
re2_o,terms_trade_x_trade,7.199278606222501
re2_o,gov_exp_reduced,1.4513774970841664
re2_o,log_cc_total_plus2,1.364010938086147
re2_o,terms_trade,7.591694866130997
re2_o,trade,1.367954653448165
re4_o,log_GDPpc2015,1.4588507164810116
re4_o,investment,1.1352566435252394
re4_o,terms_trade_x_trade,7.141876707889084
re4_o,gov_exp_reduced,1.4316450534645564
re4_o,log_cc_total_plus2,1.3018170778585434
re4_o,terms_trade,7.386804185084481
re4_o,trade,1.3526025392088648
re4_olv,log_GDPpc2015,1.506659788491996
re4_olv,investment,1.153772830592215
re4_olv,terms_trade_x_trade,7.07395638407619
re4_olv,gov_exp_reduced,1.4382648817144783
re4_olv,log_cc_total_lv_plus2,1.3687461873675417
re4_olv,terms_trade,7.238100151047961
re4_olv,trade,1.348307586859979
re4_oprop,log_GDPpc2015,1.5761812459195028
re4_oprop,investment,1.1242091403919838
re4_oprop,terms_trade_x_trade,7.190442865380259
re4_oprop,gov_exp_reduced,1.44685458156157
re4_oprop,log_cc_prop_plus2,1.484595789065998
re4_oprop,terms_trade,7.321708592143991
re4_oprop,trade,1.375432901575572
inst1,log_GDPpc2015,3.4003848967069006
inst1,investment,1.1364302790228629
inst1,terms_trade_x_trade,7.2300988073993535
inst1,gov_exp_reduced,1.4521339236879296
inst1,rule_of_law,3.587293017306702
inst1,terms_trade,7.311006880613615
inst1,trade,1.350620685551728
inst2,log_GDPpc2015,2.9609028274200773
inst2,investment,1.1340075502826166
inst2,terms_trade_x_trade,7.164896749335132
inst2,gov_exp_reduced,1.5369691887894765
inst2,ctrl_of_corr,3.226052423475947
inst2,terms_trade,7.289211255474386
inst2,trade,1.347835418795356
inst3,log_GDPpc2015,4.391979413905824
inst3,investment,1.144872943582472
inst3,terms_trade_x_trade,7.2316193238091815
inst3,gov_exp_reduced,1.4322658262664458
inst3,gov_eff,4.645833437965424
inst3,terms_trade,7.31369868048435
inst3,trade,1.357959499655781
inst4,log_GDPpc2015,2.0913261912070347
inst4,investment,1.1253225130975424
inst4,terms_trade_x_trade,7.162582377238365
inst4,gov_exp_reduced,1.4731788591249604
inst4,pol_stab,2.2952782223898156
inst4,terms_trade,7.314931036703178
inst4,trade,1.4173867015956656
inst5,log_GDPpc2015,3.0114767621329683
inst5,investment,1.1246957879829362
inst5,terms_trade_x_trade,7.159773679599094
inst5,gov_exp_reduced,1.3949757132509168
inst5,reg_q,3.0846752364155976
inst5,terms_trade,7.2908568235501345
inst5,trade,1.3831663783208912
inst6,log_GDPpc2015,1.866086781538661
inst6,investment,1.1477572192970018
inst6,terms_trade_x_trade,7.204828492980382
inst6,gov_exp_reduced,1.4740936327747034
inst6,voice_and_acc,1.9491548975697233
inst6,terms_trade,7.293302650916923
inst6,trade,1.3474032131008276
