model,dataset,model_kind,term,coefficient,std_error,t_stat,p_value,stars,nobs,r_squared
small_full_pooling,small,pooling,const,2.917762153060732,2.7866797889035544,1.0470389043905015,0.29545696441257396,,685,0.22619683234262133
small_full_pooling,small,pooling,log_cc_total,0.36092342787437154,0.2390195924774107,1.510016079156698,0.13150796469341364,,685,0.22619683234262133
small_full_pooling,small,pooling,life_exp,0.04689229820034777,0.04229001740481778,1.1088266469950823,0.26790046532925293,,685,0.22619683234262133
small_full_pooling,small,pooling,education,-0.011574474049939621,0.007267293563761457,-1.5926801289074146,0.11170080961666562,,685,0.22619683234262133
small_full_pooling,small,pooling,fertility,0.10383058065008342,0.18560128205304424,0.5594281434996176,0.5760554041003316,,685,0.22619683234262133
small_full_pooling,small,pooling,lag_log_GDPpc2015,-0.6160976408305058,0.20440195827126997,-3.0141474477111325,0.0026737553372353506,***,685,0.22619683234262133
small_full_pooling,small,pooling,gov_exp_reduced,-0.13653947829354018,0.034485793360404866,-3.959296422923796,8.316089141935379e-05,***,685,0.22619683234262133
small_full_pooling,small,pooling,inflation,-0.021048262974704225,0.012486276859331295,-1.685711698677765,0.09231418456878271,*,685,0.22619683234262133
small_full_pooling,small,pooling,investment,0.108479992727312,0.0160774685916839,6.7473304089316315,3.246558577529868e-11,***,685,0.22619683234262133
small_full_pooling,small,pooling,tot_growth,0.008079582585775322,0.019701055644452348,0.41010911961209884,0.6818562253810816,,685,0.22619683234262133
small_full_pooling,small,pooling,trade,0.011872902981787298,0.0027394785034079027,4.334001149130188,1.687595858945734e-05,***,685,0.22619683234262133
small_full_between,small,between,const,7.4952405794501615,4.892477824190317,1.5319927547531786,0.12923779595669282,,96,0.3904346845770419
small_full_between,small,between,log_cc_total,-0.053497279082359205,0.4081976085311359,-0.1310573064718938,0.8960396682550242,,96,0.3904346845770419
small_full_between,small,between,life_exp,-0.016937482422037978,0.07469549392999167,-0.22675373748666322,0.8211596824281839,,96,0.3904346845770419
small_full_between,small,between,education,-0.011864522803595975,0.01222318630293908,-0.9706571191460229,0.33447308232847694,,96,0.3904346845770419
small_full_between,small,between,fertility,-0.09726750755889918,0.3160951191325697,-0.30771594267517105,0.7590512257979167,,96,0.3904346845770419
small_full_between,small,between,lag_log_GDPpc2015,-0.4397442498753517,0.3399411673868554,-1.2935892797441613,0.19931159692077438,,96,0.3904346845770419
small_full_between,small,between,gov_exp_reduced,-0.09961138464813878,0.056397155911413005,-1.7662483690596988,0.08094451789895918,*,96,0.3904346845770419
small_full_between,small,between,inflation,-0.010391977624734813,0.032157183013581746,-0.3231619392888273,0.747366276261241,,96,0.3904346845770419
small_full_between,small,between,investment,0.07873301903740322,0.02869132949567683,2.7441397948905295,0.007400053897432368,***,96,0.3904346845770419
small_full_between,small,between,tot_growth,0.15115446529353346,0.11775889041669299,1.2835928120473057,0.20277274600248218,,96,0.3904346845770419
small_full_between,small,between,trade,0.00969921940567724,0.0046871778378706815,2.0693090258515685,0.04155416767195863,**,96,0.3904346845770419
small_full_first_difference,small,first_difference,log_cc_total,2.809462110145001,,,,,579,0.11894917043414344
small_full_first_difference,small,first_difference,life_exp,-0.36150077203255915,,,,,579,0.11894917043414344
small_full_first_difference,small,first_difference,education,0.0,,,,,579,0.11894917043414344
small_full_first_difference,small,first_difference,fertility,-2.769381447729058,,,,,579,0.11894917043414344
small_full_first_difference,small,first_difference,lag_log_GDPpc2015,-6.866035268927561,,,,,579,0.11894917043414344
small_full_first_difference,small,first_difference,gov_exp_reduced,-1.0403303712480774,,,,,579,0.11894917043414344
small_full_first_difference,small,first_difference,inflation,-0.03915571929153998,,,,,579,0.11894917043414344
small_full_first_difference,small,first_difference,investment,0.11509288132038774,,,,,579,0.11894917043414344
small_full_first_difference,small,first_difference,tot_growth,-0.008414478629636676,,,,,579,0.11894917043414344
small_full_first_difference,small,first_difference,trade,0.03370185194393135,,,,,579,0.11894917043414344
small_full_fixed,small,fixed,const,45.098110813912214,14.532385797074687,3.103283345463502,0.002007056547511432,***,685,0.20411549548195806
small_full_fixed,small,fixed,log_cc_total,1.9788358469428855,0.67987811631543,2.9105744095237256,0.0037461582584732422,***,685,0.20411549548195806
small_full_fixed,small,fixed,life_exp,0.188551074075848,0.10933355927978089,1.7245489428671408,0.0851415673194793,*,685,0.20411549548195806
small_full_fixed,small,fixed,fertility,-0.7020267914591352,0.8655358632725618,-0.8110892006309197,0.41764715030064226,,685,0.20411549548195806
