Variable,GDPgrowth,fertility,GDPpc2015,inflation,investment,gov_exp_reduced,cc_total,tot_growth,trade,education
GDPgrowth,1.0,0.19939459586309838,-0.34268332196105233,0.2382924201408109,0.3057286843796546,-0.3622324916817599,-0.17132673974140616,0.03968450726175189,0.0034308901059400708,-0.3068842938844893
fertility,0.19939459586309838,1.0,-0.6879319565750266,0.26396451093007,-0.08306432729750218,-0.4177913648447481,-0.4859158567724259,0.02516580429954291,-0.38051160634933084,-0.7637746477919354
GDPpc2015,-0.34268332196105233,-0.6879319565750266,1.0,-0.3416290374454766,-0.031108610856154427,0.49312633368767406,0.4606632757668092,-0.03540292607836697,0.339245448716816,0.7684754959223532
inflation,0.2382924201408109,0.26396451093007,-0.3416290374454766,1.0,0.11950040240117295,-0.34178316590397956,-0.2694896101493521,0.16684219555259674,-0.16789551588761456,-0.2679773154489545
investment,0.3057286843796546,-0.08306432729750218,-0.031108610856154427,0.11950040240117295,1.0,-0.12326476124587195,-0.06503105118565858,-0.023765101597738297,0.19912729575394228,0.017443992375507353
gov_exp_reduced,-0.3622324916817599,-0.4177913648447481,0.49312633368767406,-0.34178316590397956,-0.12326476124587195,1.0,0.4193146102505138,-0.0503983806844892,0.32659466205695,0.42209712319846704
cc_total,-0.17132673974140616,-0.4859158567724259,0.4606632757668092,-0.2694896101493521,-0.06503105118565858,0.4193146102505138,1.0,-0.026743648639637782,0.2986287276073541,0.44364605173157606
tot_growth,0.03968450726175189,0.02516580429954291,-0.03540292607836697,0.16684219555259674,-0.023765101597738297,-0.0503983806844892,-0.026743648639637782,1.0,-0.03316033333795709,-0.026531490509120056
trade,0.0034308901059400708,-0.38051160634933084,0.339245448716816,-0.16789551588761456,0.19912729575394228,0.32659466205695,0.2986287276073541,-0.03316033333795709,1.0,0.2886897031684613
education,-0.3068842938844893,-0.7637746477919354,0.7684754959223532,-0.2679773154489545,0.017443992375507353,0.42209712319846704,0.44364605173157606,-0.026531490509120056,0.2886897031684613,1.0
